E[keV]        Mu[cm2 g-1]
2.080733E+00  5.267060E+02
2.224304E+00  4.358928E+02
2.377781E+00  3.598248E+02
2.541848E+00  2.970450E+02
2.717235E+00  2.452439E+02
2.904724E+00  2.025029E+02
3.105150E+00  1.663972E+02
3.319406E+00  1.361094E+02
3.548445E+00  1.113376E+02
3.793288E+00  9.110454E+01
4.055024E+00  7.455938E+01
4.334821E+00  6.103418E+01
4.633924E+00  4.997644E+01
4.953664E+00  4.093585E+01
5.295467E+00  3.354289E+01
5.660855E+00  2.749735E+01
6.051453E+00  2.255319E+01
6.469004E+00  1.850878E+01
6.915365E+00  1.519979E+01
7.392525E+00  1.249300E+01
7.902609E+00  1.027736E+01
8.447890E+00  8.464951E+00
9.030794E+00  6.971115E+00
9.653919E+00  5.721777E+00
1.032004E+01  4.696412E+00
1.103212E+01  3.855846E+00
1.179334E+01  3.174232E+00
1.260708E+01  2.621632E+00
1.347697E+01  2.173622E+00
1.440688E+01  1.810037E+00
1.540095E+01  1.514799E+00
1.646362E+01  1.275029E+00
1.759961E+01  1.080069E+00
1.881398E+01  9.214645E-01
2.011215E+01  7.922224E-01
2.149988E+01  6.868198E-01
2.298338E+01  6.007096E-01
2.456923E+01  5.302340E-01
2.626450E+01  4.724268E-01
2.807676E+01  4.241564E-01
3.001405E+01  3.842926E-01
3.208502E+01  3.514367E-01
3.429889E+01  3.242388E-01
3.666551E+01  3.015910E-01
3.919543E+01  2.826252E-01
4.189992E+01  2.665978E-01
4.479101E+01  2.529690E-01
4.788159E+01  2.412429E-01
5.118542E+01  2.310574E-01
5.471721E+01  2.221239E-01
5.849270E+01  2.141928E-01
6.252870E+01  2.070719E-01
6.684318E+01  2.005970E-01
7.145536E+01  1.946516E-01
7.638578E+01  1.891323E-01
8.165640E+01  1.839627E-01
8.729069E+01  1.790884E-01
9.331374E+01  1.744327E-01
9.975239E+01  1.699901E-01
1.066353E+02  1.657063E-01
1.139931E+02  1.615746E-01
1.218587E+02  1.575539E-01
1.302669E+02  1.536610E-01
1.392553E+02  1.498624E-01
1.488640E+02  1.461605E-01
1.591356E+02  1.425552E-01
1.701159E+02  1.390199E-01
1.818539E+02  1.355757E-01
1.944018E+02  1.322127E-01
2.078156E+02  1.289330E-01
2.221548E+02  1.257267E-01
2.374835E+02  1.226137E-01
2.538699E+02  1.195674E-01
2.713869E+02  1.166234E-01
2.901126E+02  1.137472E-01
3.101304E+02  1.109566E-01
3.315294E+02  1.082632E-01
3.544049E+02  1.056473E-01
3.788588E+02  1.031191E-01
4.050001E+02  1.006784E-01
