E[keV]        Mu[cm2 g-1]
2.080733E+00  1.504378E+03
2.224304E+00  1.257719E+03
2.377781E+00  1.047994E+03
2.541848E+00  8.768062E+02
2.717235E+00  7.345910E+02
2.904724E+00  6.155705E+02
3.105150E+00  5.138641E+02
3.319406E+00  4.276404E+02
3.548445E+00  3.559471E+02
3.793288E+00  2.953563E+02
4.055024E+00  2.441705E+02
4.334821E+00  2.018864E+02
4.633924E+00  1.669528E+02
4.953664E+00  1.380946E+02
5.295467E+00  1.142396E+02
5.660855E+00  9.452536E+01
6.051453E+00  7.822932E+01
6.469004E+00  6.476321E+01
6.915365E+00  5.362649E+01
7.392525E+00  4.441910E+01
7.902609E+00  3.680429E+01
8.447890E+00  3.036659E+01
9.030794E+00  2.500806E+01
9.653919E+00  2.048467E+01
1.032004E+01  1.678412E+01
1.103212E+01  1.375720E+01
1.179334E+01  1.128602E+01
1.260708E+01  9.267116E+00
1.347697E+01  7.618048E+00
1.440688E+01  6.270639E+00
1.540095E+01  5.169256E+00
1.646362E+01  4.268873E+00
1.759961E+01  3.532436E+00
1.881398E+01  2.929869E+00
2.011215E+01  2.436645E+00
2.149988E+01  2.032812E+00
2.298338E+01  1.701901E+00
2.456923E+01  1.430591E+00
2.626450E+01  1.208037E+00
2.807676E+01  1.021608E+00
3.001405E+01  8.681017E-01
3.208502E+01  7.426583E-01
3.429889E+01  6.400272E-01
3.666551E+01  5.558733E-01
3.919543E+01  4.868000E-01
4.189992E+01  4.291393E-01
4.479101E+01  3.817670E-01
4.788159E+01  3.427302E-01
5.118542E+01  3.104502E-01
5.471721E+01  2.836576E-01
5.849270E+01  2.613151E-01
6.252870E+01  2.425810E-01
6.684318E+01  2.267791E-01
7.145536E+01  2.133636E-01
7.638578E+01  2.018823E-01
8.165640E+01  1.919650E-01
8.729069E+01  1.833320E-01
9.331374E+01  1.757248E-01
9.975239E+01  1.689794E-01
1.066353E+02  1.629188E-01
1.139931E+02  1.574254E-01
1.218587E+02  1.523887E-01
1.302669E+02  1.477397E-01
1.392553E+02  1.434057E-01
1.488640E+02  1.393306E-01
1.591356E+02  1.354771E-01
1.701159E+02  1.317964E-01
1.818539E+02  1.282758E-01
1.944018E+02  1.248960E-01
2.078156E+02  1.216289E-01
2.221548E+02  1.184599E-01
2.374835E+02  1.153902E-01
2.538699E+02  1.123945E-01
2.713869E+02  1.094942E-01
2.901126E+02  1.066538E-01
3.101304E+02  1.038795E-01
3.315294E+02  1.011874E-01
3.544049E+02  9.855175E-02
3.788588E+02  9.598171E-02
4.050001E+02  9.347538E-02
